ticker,date,text,source,url
AAPL,2026-01-27,"Jefferies Flags App Store and Google Ad Risks for Apple (AAPL). Apple Inc. (NASDAQ:AAPL) is one of the AI Stocks in Focus on Wall Street. On January 26, Jefferies analyst Edison Lee lowered the price target on the stock...",newsapi,https://finance.yahoo.com/news/jefferies-flags-app-store-google-172321219.html
AAPL,2026-01-27,"Wall Street braces for a blowout quarter from Apple. Apple earnings are set to soar with predicted double-digit revenue growth. Discover why Wall Street is so upbeat about the iPhone maker.
(via Cult of Mac - Your source for the latest Apple news, rumors, analysis, reviews, how-tos and deals.)",newsapi,https://www.cultofmac.com/news/apple-earnings-financial-predictions-q1-2026
AAPL,2026-01-27,"Earnings live: UnitedHealth stock tumbles, UPS and General Motors rise. The fourth quarter earnings season kicks into high gear this week, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings...",newsapi,https://finance.yahoo.com/news/live/earnings-live-unitedhealth-stock-tumbles-ups-and-general-motors-rise-130729919.html
AAPL,2026-01-27,"Meta to test premium subscription plans for Instagram, Facebook and WhatsApp - CNBC. Meta to test premium subscription plans for Instagram, Facebook and WhatsAppCNBC Meta to test premium subscriptions on Instagram, Facebook, and WhatsAppYahoo Finance Meta to trial premium subscriptions for Instagram, Facebook and WhatsAppBBC Meta's Sacred Cow…",newsapi,https://slashdot.org/firehose.pl?op=view&amp;id=180663722
AAPL,2026-01-27,"Jim Cramer Says “I’m Not Changing My View, I Say, Own Apple, Don’t Trade It”. Apple Inc. (NASDAQ:AAPL) is one of the stocks in focus as Jim Cramer shared his weekly game plan. Cramer highlighted why the stock has been down for the past...",newsapi,https://finance.yahoo.com/news/jim-cramer-says-m-not-023322336.html
AAPL,2026-01-26,"Apple stock surges ahead of key holiday earnings report. Apple's stock rose notably on Monday as investors looked ahead to the company's fiscal first-quarter earnings report, buoyed by renewed…
The post Apple stock surges ahead of key holiday earnings report appeared first on MacDailyNews.",newsapi,https://macdailynews.com/2026/01/26/apple-stock-surges-ahead-of-key-holiday-earnings-report/
AAPL,2026-01-26,"JPMorgan boosts Apple price target to $315 ahead of earnings, citing strong iPhone 17 demand. JPMorgan has raised its price target on Apple stock to $315 from $305, maintaining its overweight rating, as the bank expresses optimism…
The post JPMorgan boosts Apple price target to $315 ahead of earnings, citing strong iPhone 17 demand appeared first on M…",newsapi,https://macdailynews.com/2026/01/26/jpmorgan-boosts-apple-price-target-to-315-ahead-of-earnings-citing-strong-iphone-17-demand/
AAPL,2026-01-26,"Earnings live: Baker Hughes stock rises as Big Tech earnings come into view. The fourth quarter earnings season kicks into high gear this week, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings...",newsapi,https://finance.yahoo.com/news/live/earnings-live-baker-hughes-stock-rises-as-big-tech-earnings-come-into-view-133500361.html
AAPL,2026-01-26,"Stock market today: Dow, S&P 500, Nasdaq rise to kick off big week of Big Tech earnings, Fed meeting. Markets are treading carefully ahead of a Fed rate decision and a big week of earnings from the likes of Apple and Meta.",newsapi,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-rise-to-kick-off-big-week-of-big-tech-earnings-fed-meeting-110341652.html
AAPL,2026-01-26,entityspine added to PyPI. Lightweight entity resolution - from company_tickers.json to enterprise,newsapi,https://pypi.org/project/entityspine/
AAPL,2026-01-26,"Stock futures fall as traders get set for a big week of trading: Live updates - CNBC. Stock futures fall as traders get set for a big week of trading: Live updatesCNBC Fed, big earnings week loom for markets as global tensions muddy outlookYahoo Finance Stock Futures Are Falling Ahead of Fed Meeting as Shutdown Fears RiseBarron's Earnings week…",newsapi,https://slashdot.org/firehose.pl?op=view&amp;id=180656110
AAPL,2026-01-25,"What to Expect in Markets This Week: Fed Interest Rate Decision, Earnings From Microsoft, Meta, Tesla, Apple - Investopedia. What to Expect in Markets This Week: Fed Interest Rate Decision, Earnings From Microsoft, Meta, Tesla, AppleInvestopedia Fed, big earnings week loom for markets as global tensions muddy outlookYahoo Finance Megacap earnings next week could lift a stock market…",newsapi,https://slashdot.org/firehose.pl?op=view&amp;id=180655460
AAPL,2026-01-25,sopel-stocks added to PyPI. Stock lookup plugin for Sopel IRC bots,newsapi,https://pypi.org/project/sopel-stocks/
AAPL,2026-01-25,"AAPL vs. MSFT vs. TSLA: Wall Street’s Favorite Magnificent 7 Stock Ahead of Q4 Earnings Season - TipRanks. AAPL vs. MSFT vs. TSLA: Wall Street’s Favorite Magnificent 7 Stock Ahead of Q4 Earnings SeasonTipRanks Fed, big earnings week loom for markets as global tensions muddy outlookYahoo Finance Fed Meeting, Apple, Meta, GM, Boeing, Chevron, and More to Watch This …",newsapi,https://slashdot.org/firehose.pl?op=view&amp;id=180654736
AAPL,2026-01-25,Intel’s Nvidia-Like Rally Faces a Reality Check: Should You Buy the Dip In INTC Stock?. Intel stock is trading sharply lower today after the company gave soft guidance for Q1. Should you buy the dip in INTC stock?,newsapi,https://www.barchart.com/story/news/37219060/intels-nvidia-like-rally-faces-a-reality-check-should-you-buy-the-dip-in-intc-stock
AAPL,2026-01-25,"Show HN: TUI to track stock and cryptocurrencies in real-time. Article URL: https://github.com/ni5arga/stock-tui
Comments URL: https://news.ycombinator.com/item?id=46753881
Points: 1
# Comments: 0",newsapi,https://github.com/ni5arga/stock-tui
AAPL,2026-01-25,Hands-On with Two Apple Network Server Prototype ROMs. Grateful acknowledgement made to the several former Apple employees who materially contributed to this entry. This article wouldn't have bee...,newsapi,http://oldvcr.blogspot.com/2026/01/hands-on-with-two-apple-network-server.html
AAPL,2026-01-24,Jim Cramer Reveals Why Apple (AAPL) Stock is Struggling. ,newsapi,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_9f164cb9-e27a-41e0-a00c-0066970c6418
AAPL,2026-01-23,Intel stock sinks as company's Q1 outlook falls short of Wall Street expectations. Intel reported fourth quarter earnings results after the bell.,newsapi,https://finance.yahoo.com/news/intel-stock-sinks-as-companys-q1-outlook-falls-short-of-wall-street-expectations-143343615.html
AAPL,2026-01-23,"Bitcoin options show pro traders expect more downside, but also plan to accumulate. Bitcoin derivatives markets show traders holding steady, but the path back to $95,000 relies on institutional inflows returning, especially after this week’s $1.58 billion outflow.",newsapi,https://cointelegraph.com/news/bitcoin-options-show-pro-traders-expect-more-downside-but-also-plan-to-accumulate
AAPL,2026-01-22,"Jim Cramer says he's not abandoning the Mag 7 stocks despite recent struggles. Here's why. ""I think that the money will ultimately flow back to most"" of the Magnificent Seven stocks, CNBC's Jim Cramer said.",newsapi,https://www.cnbc.com/2026/01/22/jim-cramer-says-hes-not-bailing-on-the-mag-7-amid-storage-stock-rally.html
AAPL,2026-01-22,"Why Apple’s Sell-Off May Be Overdone Right Before Earnings. Apple heads into earnings deeply oversold but fundamentally intact, setting up a potential rebound rally if results top expectations.",newsapi,https://www.marketbeat.com/originals/why-apples-sell-off-may-be-overdone-right-before-earnings/?utm_source=yahoofinance&amp;utm_medium=yahoofinance
AAPL,2026-01-22,"Show HN: First autonomous ML and AI engineering Agent. Founder here. I built NEO, an AI agent designed specifically for AI and ML engineering workflows, after repeatedly hitting the same wall with existing tools: they work for short, linear tasks, but fall apart once workflows become long-running, stateful, and f…",newsapi,https://marketplace.visualstudio.com/items?itemName=NeoResearchInc.heyneo
AAPL,2026-01-22,KHC Is Low-Hanging Fruit for Greg Abel: Which Warren Buffett Stock Will He Sell Next?. KHC might not be the only mistake made by Warren Buffet that Berkshire Hathaway’s new CEO might try and rectify.,newsapi,https://www.barchart.com/story/news/37178066/khc-is-low-hanging-fruit-for-greg-abel-which-warren-buffett-stock-will-he-sell-next
AAPL,2026-01-22,"Should You Buy the Dip in Qualcomm Stock?. After Qualcomm recorded its seventh straight intraday decline, should you capitalize on its dip?",newsapi,https://www.barchart.com/story/news/37176112/should-you-buy-the-dip-in-qualcomm-stock
AAPL,2026-01-22,Intel earnings set to test stock rally as Wall Street grows bullish on chipmaker’s AI position. Intel is set to report fourth quarter earnings results after the bell.,newsapi,https://finance.yahoo.com/news/intel-earnings-set-to-test-stock-rally-as-wall-street-grows-bullish-on-chipmakers-ai-position-143443999.html
AAPL,2026-01-22,"Apple’s Huge Surge in China. Apple led in smartphone market share and shipment growth in China in the fourth quarter of 2025, despite it not having an artificial intelligence product in ...",newsapi,https://247wallst.com/consumer-electronics/2026/01/22/apples-huge-surge-in-china/
AAPL,2026-01-22,"AI power and infrastructure needs boomed in 2025. At Davos, the AI story for 2026 remains the same.. The AI industry's greatest bottleneck, power, drove a boom in infrastructure throughout 2025. At Davos, leaders signal that 2026 is likely to see more of the...",newsapi,https://finance.yahoo.com/news/ai-power-and-infrastructure-needs-boomed-in-2025-at-davos-the-ai-story-for-2026-remains-the-same-100005093.html
MSFT,2026-01-27,"Earnings live: UnitedHealth stock tumbles, UPS and General Motors rise. The fourth quarter earnings season kicks into high gear this week, with Big Tech results from Microsoft, Meta, Tesla, and Apple headlining the earnings...",newsapi,https://finance.yahoo.com/news/live/earnings-live-unitedhealth-stock-tumbles-ups-and-general-motors-rise-130729919.html
